Gene,Perturbed_Notochord_count,Unperturbed_Notochord_count,Perturbed_Prechordal_count,Unperturbed_Prechordal_count,Notochord_LogFC,Prechordal_LogFC,Total_cells
NEUROG1,638,634,103,107,0.009073583625462067,-0.054966459217928566,741
NEUROG3,634,634,107,107,0.0,0.0,741
NFAT5A,634,634,107,107,0.0,0.0,741
NFAT5B,634,634,107,107,0.0,0.0,741
NFATC1,634,634,107,107,0.0,0.0,741
NFATC2,634,634,107,107,0.0,0.0,741
NFATC3A,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
NFATC3B,634,634,107,107,0.0,0.0,741
NFATC4,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
NFE2,634,634,107,107,0.0,0.0,741
NFE2L1A,634,634,107,107,0.0,0.0,741
NFE2L1B,634,634,107,107,0.0,0.0,741
NFE2L2A,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
NFE2L2B,634,634,107,107,0.0,0.0,741
NFE2L3,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
NFIA,634,634,107,107,0.0,0.0,741
NFIC,634,634,107,107,0.0,0.0,741
NFIL3,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
NFIL3-2,634,634,107,107,0.0,0.0,741
NFIL3-4,634,634,107,107,0.0,0.0,741
NFIL3-5,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
NFIL3-6,634,634,107,107,0.0,0.0,741
NFIXA,634,634,107,107,0.0,0.0,741
NFIXB,634,634,107,107,0.0,0.0,741
NFKB1,634,634,107,107,0.0,0.0,741
NFKB2,612,634,129,107,-0.05095118744675548,0.2697602690221072,741
NFXL1,634,634,107,107,0.0,0.0,741
NFYA,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
NFYAL,662,634,79,107,0.062348376667810367,-0.43768623822404407,741
NHLH2,634,634,107,107,0.0,0.0,741
NKX1.2LA,634,634,107,107,0.0,0.0,741
NKX1.2LB,634,634,107,107,0.0,0.0,741
NKX2.1,634,634,107,107,0.0,0.0,741
NKX2.2A,634,634,107,107,0.0,0.0,741
NKX2.2B,634,634,107,107,0.0,0.0,741
NKX2.3,634,634,107,107,0.0,0.0,741
NKX2.4A,634,634,107,107,0.0,0.0,741
NKX2.4B,634,634,107,107,0.0,0.0,741
NKX2.5,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
NKX2.7,634,634,107,107,0.0,0.0,741
NKX3-1,634,634,107,107,0.0,0.0,741
NKX3.2,571,634,170,107,-0.15099209477656456,0.6679239497365548,741
NKX3.3,634,634,107,107,0.0,0.0,741
